scale_idx,scale,initial_mesh_up,initial_mesh_down,bvp_loop_success,bvp_elapsed_s,hc_loop_success,hc_elapsed_s,note
0,0.245,200,10,,,True,10.7428,
1,0.25,200,10,,,True,10.5091,
2,0.255,200,10,,,True,10.4935,
3,0.26,200,10,,,True,10.4198,
4,0.265,200,10,,,True,10.7214,
5,0.27,200,10,,,True,29.3712,
6,0.275,200,10,,,True,12.1012,
7,0.28,200,10,,,True,12.6854,
8,0.28500000000000003,200,10,,,True,12.8342,
9,0.29000000000000004,200,10,,,True,13.3012,
10,0.29500000000000004,200,10,,,True,19.9449,
11,0.30000000000000004,200,10,,,True,20.6852,
12,0.30500000000000005,200,10,,,True,19.3549,
13,0.31000000000000005,200,10,,,True,20.2225,
14,0.31500000000000006,200,10,,,True,18.4083,
15,0.32000000000000006,200,10,,,True,19.7056,
16,0.32500000000000007,200,10,,,True,22.8995,
17,0.33000000000000007,200,10,,,True,20.1278,
18,0.3350000000000001,200,10,,,True,22.5362,
19,0.3400000000000001,200,10,,,True,23.0539,
20,0.3450000000000001,200,10,,,True,17.2895,
21,0.3500000000000001,200,10,,,True,17.1231,
22,0.3550000000000001,200,10,,,True,11.7899,
23,0.3600000000000001,200,10,,,True,11.6946,
24,0.3650000000000001,200,10,,,True,11.4623,
25,0.3700000000000001,200,10,,,True,11.4043,
26,0.3750000000000001,200,10,,,True,11.5889,
27,0.3800000000000001,200,10,,,True,11.4494,
28,0.3850000000000001,200,10,,,True,11.9861,
29,0.3900000000000001,200,10,,,True,11.2763,
30,0.39500000000000013,200,10,,,True,11.372,
31,0.40000000000000013,200,10,,,True,11.3412,
32,0.40500000000000014,200,10,,,True,11.1276,
33,0.41000000000000014,200,10,,,True,11.0574,
34,0.41500000000000015,200,10,,,True,38.9626,
35,0.42000000000000015,200,10,,,True,216.3714,
36,0.42500000000000016,200,10,,,True,21.3236,
37,0.43000000000000016,200,10,,,True,32.4888,
